player_name,normalized_player_name,nationality,season,competition,club_raw,appearances,goals,minutes,age_in_season,position,assists,goals_plus_assists,goals_minus_pk,penalty_goals,penalty_attempts,starts,sub_appearances,nineties_played,player_uid,multi_club_key
Peter Reid,peter reid,eng ENG,1993/94,Premier League,2 Teams,11,0,721,37,MF,0,0,0,0,0,8,3,8,peter reid|eng eng|1956,peter reid|1993/94
Neil Webb,neil webb,eng ENG,1992/93,Premier League,2 Teams,10,0,830,29,"DF,MF",2,2,0,0,0,9,1,9.2,neil webb|eng eng|1963,neil webb|1992/93
Marc Hottiger,marc hottiger,ch SUI,1995/96,Premier League,2 Teams,10,1,821,27,DF,1,2,1,0,0,9,1,9.1,marc hottiger|ch sui|1968,marc hottiger|1995/96
Andy Pearce,andy pearce,eng ENG,1995/96,Premier League,2 Teams,10,0,727,29,DF,0,0,,,,9,1,8.1,andy pearce|eng eng|1966,andy pearce|1995/96
Gary Walsh,gary walsh,eng ENG,1993/94,Premier League,2 Teams,9,0,782,25,GK,0,0,0,0,0,8,1,8.7,gary walsh|eng eng|1968,gary walsh|1993/94
Paul Parker,paul parker,eng ENG,1996/97,Premier League,2 Teams,8,0,461,32,DF,0,0,,,,5,3,5.1,paul parker|eng eng|1964,paul parker|1996/97
Ilie Dumitrescu,ilie dumitrescu,ro ROU,1995/96,Premier League,2 Teams,8,0,617,26,"FW,MF",0,0,,,,7,1,6.9,ilie dumitrescu|ro rou|1969,ilie dumitrescu|1995/96
Alan McLeary,alan mcleary,eng ENG,1992/93,Premier League,2 Teams,7,0,587,27,DF,0,0,0,0,0,7,0,6.5,alan mcleary|eng eng|1965,alan mcleary|1992/93
Mark Kennedy,mark kennedy,ie IRL,1997/98,Premier League,2 Teams,5,0,379,21,"DF,MF",1,1,0,0,,4,1,4.2,mark kennedy|ie irl|1976,mark kennedy|1997/98
Simon Tracey,simon tracey,eng ENG,1994/95,Premier League,2 Teams,4,0,360,26,GK,0,0,0,0,0,4,0,4,simon tracey|eng eng|1968,simon tracey|1994/95
Ray Wilkins,ray wilkins,eng ENG,1994/95,Premier League,2 Teams,3,0,173,37,MF,0,0,,,,2,1,1.9,ray wilkins|eng eng|1957,ray wilkins|1994/95
Steve Livingstone,steve livingstone,eng ENG,1992/93,Premier League,2 Teams,3,0,142,22,FW,0,0,0,0,0,1,2,1.6,steve livingstone|eng eng|1970,steve livingstone|1992/93
Neil Heaney,neil heaney,eng ENG,1993/94,Premier League,2 Teams,3,0,246,21,MF,0,0,0,0,0,3,0,2.7,neil heaney|eng eng|1972,neil heaney|1993/94
Steve Stone,steve stone,eng ENG,1998/99,Premier League,2 Teams,36,3,3095,26,MF,6,9,,,,35,1,34.4,steve stone|eng eng|1972,steve stone|1998/99
Ray Houghton,ray houghton,ie IRL,1994/95,Premier League,2 Teams,36,3,2690,32,MF,2,5,,,,29,7,29.9,ray houghton|ie irl|1962,ray houghton|1994/95
Andy Roberts,andy roberts,eng ENG,1997/98,Premier League,2 Teams,36,1,3197,23,MF,1,2,1,0,0,36,0,35.5,andy roberts|eng eng|1974,andy roberts|1997/98
Andy Cole,andy cole,eng ENG,1994/95,Premier League,2 Teams,36,21,3195,22,FW,5,26,,,,35,1,35.5,andy cole|eng eng|1972,andy cole|1994/95
Ian Taylor,ian taylor,eng ENG,1994/95,Premier League,2 Teams,36,2,2807,26,MF,3,5,,,,31,5,31.2,ian taylor|eng eng|1968,ian taylor|1994/95
David Batty,david batty,eng ENG,1993/94,Premier League,2 Teams,35,0,3081,24,MF,3,3,0,0,0,34,1,34.2,david batty|eng eng|1969,david batty|1993/94
Emile Heskey,emile heskey,eng ENG,1999/00,Premier League,2 Teams,35,10,3044,21,FW,4,14,,,,35,0,33.8,emile heskey|eng eng|1978,emile heskey|1999/00
Mike Marsh,mike marsh,eng ENG,1993/94,Premier League,2 Teams,35,2,2970,24,"FW,MF",4,6,2,0,0,33,2,33,mike marsh|eng eng|1969,mike marsh|1993/94
Ian Pearce,ian pearce,eng ENG,1997/98,Premier League,2 Teams,35,1,2928,23,DF,2,3,1,0,0,31,4,32.5,ian pearce|eng eng|1974,ian pearce|1997/98
Nick Barmby,nick barmby,eng ENG,1996/97,Premier League,2 Teams,35,5,2829,22,"FW,MF",8,13,5,0,0,32,3,31.4,nick barmby|eng eng|1974,nick barmby|1996/97
Gordon Watson,gordon watson,eng ENG,1994/95,Premier League,2 Teams,35,5,1781,23,FW,1,6,,,,17,18,19.8,gordon watson|eng eng|1971,gordon watson|1994/95
Mark Bright,mark bright,eng ENG,1992/93,Premier League,2 Teams,35,12,3029,30,FW,2,14,12,0,0,33,2,33.7,mark bright|eng eng|1962,mark bright|1992/93
Eric Cantona,eric cantona,fr FRA,1992/93,Premier League,2 Teams,35,15,3014,26,FW,16,31,,,,33,2,33.5,eric cantona|fr fra|1966,eric cantona|1992/93
Tony Cottee,tony cottee,eng ENG,1994/95,Premier League,2 Teams,34,13,2992,29,FW,3,16,13,0,0,34,0,33.2,tony cottee|eng eng|1965,tony cottee|1994/95
David Batty,david batty,eng ENG,1995/96,Premier League,2 Teams,34,2,3015,26,MF,3,5,,,,34,0,33.5,david batty|eng eng|1969,david batty|1995/96
Steve Watson,steve watson,eng ENG,1998/99,Premier League,2 Teams,34,0,2783,24,"DF,MF",4,4,0,0,0,33,1,30.9,steve watson|eng eng|1974,steve watson|1998/99
Gary Speed,gary speed,wls WAL,1997/98,Premier League,2 Teams,34,8,3060,27,MF,1,9,,,,34,0,34,gary speed|wls wal|1970,gary speed|1997/98
Michael Hughes,michael hughes,nir NIR,1997/98,Premier League,2 Teams,34,4,2824,25,MF,3,7,4,0,0,31,3,31.4,michael hughes|nir nir|1972,michael hughes|1997/98
Darren Huckerby,darren huckerby,eng ENG,1999/00,Premier League,2 Teams,34,2,1319,23,"FW,MF",3,5,2,0,0,10,24,14.7,darren huckerby|eng eng|1976,darren huckerby|1999/00
Dion Dublin,dion dublin,eng ENG,1998/99,Premier League,2 Teams,34,14,2913,29,"DF,FW",5,19,,,,34,0,32.4,dion dublin|eng eng|1969,dion dublin|1998/99
David Burrows,david burrows,eng ENG,1994/95,Premier League,3 Teams,34,0,2939,25,DF,1,1,,,,34,0,32.7,david burrows|eng eng|1969,david burrows|1994/95
David Hirst,david hirst,eng ENG,1997/98,Premier League,2 Teams,34,9,2693,29,FW,4,13,8,1,1,31,3,29.9,david hirst|eng eng|1968,david hirst|1997/98
Mikkel Beck,mikkel beck,dk DEN,1998/99,Premier League,2 Teams,34,6,1791,25,FW,4,10,,,,19,15,19.9,mikkel beck|dk den|1973,mikkel beck|1998/99
Vinnie Jones,vinnie jones,wls WAL,1992/93,Premier League,2 Teams,34,2,2946,27,MF,1,3,1,1,2,34,0,32.7,vinnie jones|wls wal|1965,vinnie jones|1992/93
Dwight Yorke,dwight yorke,tt TRI,1998/99,Premier League,2 Teams,33,18,2871,26,"FW,MF",11,29,18,0,1,33,0,31.9,dwight yorke|tt tri|1972,dwight yorke|1998/99
Robbie Slater,robbie slater,au AUS,1996/97,Premier League,2 Teams,33,2,2261,31,MF,3,5,2,0,0,24,9,25.1,robbie slater|au aus|1965,robbie slater|1996/97
Tim Sherwood,tim sherwood,eng ENG,1998/99,Premier League,2 Teams,33,5,2709,29,MF,1,6,5,0,0,31,2,30.1,tim sherwood|eng eng|1969,tim sherwood|1998/99
Jason McAteer,jason mcateer,ie IRL,1995/96,Premier League,2 Teams,33,0,2805,24,MF,3,3,,,,31,2,31.2,jason mcateer|ie irl|1971,jason mcateer|1995/96
Paul Allen,paul allen,eng ENG,1993/94,Premier League,2 Teams,33,1,2710,30,MF,3,4,1,0,0,29,4,30.1,paul allen|eng eng|1963,paul allen|1993/94
Kevin Richardson,kevin richardson,eng ENG,1994/95,Premier League,2 Teams,33,0,2911,31,MF,3,3,0,0,0,32,1,32.3,kevin richardson|eng eng|1963,kevin richardson|1994/95
Mark Robins,mark robins,eng ENG,1994/95,Premier League,2 Teams,33,9,2624,24,FW,6,15,9,0,,29,4,29.2,mark robins|eng eng|1970,mark robins|1994/95
